105089,677
106453,458
112478,630
116619,897
120595,789
121410,458
125467,658
128898,897
129771,196
130650,897
132414,677
143582,630
149097,984
153713,196
158955,196
159418,677
160853,677
176555,984
177683,884
189262,884
209838,630
215040,196
215204,598
217711,581
240701,985
253321,581
271273,884
271719,758
281181,897
284527,458
285937,598
293304,458
304986,985
306587,196
308594,630
318294,458
321393,984
323825,598
330224,897
340445,630
354000,658
363075,758
363115,658
372492,630
380641,677
405344,677
418297,630
432979,984
437751,677
450193,677
452391,598
464888,984
465437,984
474829,984
476777,985
485675,758
502706,897
525687,598
525855,598
542537,458
547653,677
557548,758
562629,985
583197,564
587045,758
599345,758
604652,630
605467,985
615621,984
615978,630
633619,985
656774,985
663110,458
675026,403
687982,658
690545,677
704817,677
709215,403
712031,658
716752,984
727492,985
746373,598
753723,677
761356,985
777393,677
796104,630
797774,985
801473,884
807196,598
812621,984
813312,458
816398,897
816829,897
819100,458
822388,758
823179,458
827552,403
833998,564
851177,564
853764,897
854103,984
854475,789
865042,458
866713,658
876413,897
896562,985
918910,884
919021,630
929436,658
937651,403
938870,630
943182,897
955722,985
965126,984
969046,789
970121,884
971812,196
975496,458
989888,758
991248,985
991610,984
995492,984
